id,user,likes,dislikes,followers
1,lmalletratt0,1135,1871,19283
2,skilmurray1,1638,2312,10300
3,vhowgego2,1553,2780,17979
5,htacker4,1881,2041,18406
6,bhutchence5,841,1560,10842
7,epetr6,1969,3235,19901
8,pcucinotta7,849,2156,18407
10,mduerden9,962,3132,13748
15,dlabese,628,1520,18848
16,gpettettf,1457,2909,13668
17,dgifkinsg,648,2543,14339
18,rrosewarneh,1152,1157,10527
20,dgannanj,1784,2803,17162
25,hdaykino,2314,2467,19741
26,pmingop,1977,3012,17095
33,scroalw,2231,3271,15407
34,nlearnedx,1683,2121,10411
35,cmarshamy,1817,2361,19872
37,loates10,1115,3217,16032
38,ayea11,680,2486,18841
40,rworsley13,2438,2605,16146
42,kitzakovitz15,2305,2942,17369
44,ojanu17,933,3042,13659
45,jdressell18,2956,2968,14451
49,mboycott1c,1005,1668,13835
51,jnorsworthy1e,2097,2564,12688
53,jsaing1g,1554,1936,18968
54,hnairns1h,798,1583,12673
55,ctabour1i,2137,3289,13960
56,mtithecott1j,1330,2026,14963
58,kmeineken1l,2339,2879,11048
59,nkubicek1m,1497,2786,19351
61,szupo1o,844,2792,10834
62,akemson1p,1643,1668,12786
63,cgossling1q,1274,1291,17107
64,snoller1r,579,2691,12499
65,cfriday1s,2785,3500,19427
67,chintzer1u,1005,2382,13047
69,gletts1w,720,2804,18288
70,jjosefsen1x,1063,1148,16591
71,tmckeaney1y,2150,3357,15583
72,mlorden1z,955,1828,15611
73,cdmitrievski20,691,1362,10182
77,mlovatt24,1643,2080,11156
78,pboyack25,634,3480,14913
79,kklemencic26,564,1368,13483
81,lnorcliff28,608,1813,18027
83,wjeavon2a,1444,3100,16891
84,skingston2b,2940,3391,10331
85,fstollhofer2c,1070,1939,13633
86,choggin2d,680,2379,18348
88,lholbarrow2f,2517,3404,14403
90,malexis2h,501,1585,13940
97,gmacsharry2o,1781,2080,11780
98,cdarkott2p,695,2876,18791
99,apetrecz2q,1350,1527,11258
